chunk_id,document_id,themes,rules,exceptions,merchant_specific,confidence_score
MIS_ Paiv_chunk_0,MIS_ Paiv,Contract Processing and Billing Term Creation; Service Pricing and Payment Schedule Management; Date and Frequency Mapping from Contracts; Quantity and Price Calculation Rules; Post-Processing Setup and Auto-Pay Configuration,"Service Start Date must refer to the 'Contract effective start date'; Months of Service must match the billing period (1 every 1 month = 1 month, 1 every 2 months = 2 months, 3 every 3 months = 9 months); Item Name should be taken from the 'Subscription' table for itemized services; Item Description should be left blank; Integration Item must have 1:1 match to the item name; Billing Type is usually flat pricing, but check General Terms section for usage pricing; Total Price should refer to the Total Price column for each item; If gross amount has strikethrough, process with discount to result in net amount in bold; Include net $0 items in processing; For change orders, include any billing terms despite the amount; If payment schedule amounts differ from line item amounts, follow the payment schedule; Quantity should refer to the Quantity column, default to 1 unless otherwise specified; Start Date should refer to the 'Billing Start Date'; Periods should refer to the length column; Frequency should refer to the Billing Frequency (monthly, yearly, or otherwise); Flag to Ashni Marshal to set up auto-pay once processed and reviewed; Dates for both billing and revenue must match the contract; Discounts should be in-line instead of being a separate billing term; US team must set up 'Auto-Pay' for the merchant in the merchant app","Contracts with quantity increases over time must be flagged to Ashni Marshall and processed with specific breakdown format; For quarterly frequency with additional months, break out as separate billing term (BT); For broken out BT, International team processes with contract date, then US team changes date to match first invoice in front end; Example reference: d5de5964-b00e-4e18-a9fd-9c2b8af98c54 shows multi-BT structure with varying quantities and frequencies; Special handling for contracts with strikethrough pricing requiring discount calculation",Merchant Name: Paiv AI (https://www.paiv.ai); Implementation POC field (to be filled by IM); CX POC field (to be added by IMP); Billing model section requires merchant-specific information about customer creation process; Contract structure and breakdown varies by merchant; One-off merchant-specific considerations need to be documented; Payment schedule may vary from standard line item amounts per merchant; Auto-pay setup is merchant-specific and requires coordination between teams,0.85
MIS_ Paiv_chunk_1,MIS_ Paiv,"Default operational parameters and fallback values; Post-implementation processing and handoff procedures; Cross-team communication and notification protocols; Responsibility assignment across teams (AE, Implementation, Success, Ops); Contract and billing configuration management","{'rule': 'Default Service Term is 1 Year if none listed in contract', 'category': 'billing_defaults'}; {'rule': 'Default Net Payment Terms is 0 (Net 0) if none specified', 'category': 'billing_defaults'}; {'rule': 'Default Billing Frequency is Monthly if none listed', 'category': 'billing_defaults'}; {'rule': 'Default tax handling: every tax line item becomes a BT (Billable Tax) Events', 'category': 'tax_processing'}; {'rule': 'Events Processing must match or create events as listed in the contract', 'category': 'events_processing'}; {'rule': 'Integration Items must have 1:1 match with the item name', 'category': 'integration_processing'}; {'rule': 'Implementation Success team fills in Events Processing, Integration Items, and Post Processing Communications sections Post-Go Live', 'category': 'responsibility_assignment'}; {'rule': 'AE fills Feature Requests prior to Implementation handoff', 'category': 'responsibility_assignment'}; {'rule': 'Implementation fills Feature Requests prior to go-live', 'category': 'responsibility_assignment'}; {'rule': 'Success team fills Feature Requests Post-Go Live', 'category': 'responsibility_assignment'}; {'rule': 'Customer Information section tracks all customers on auto-pay', 'category': 'customer_management'}; {'rule': 'Implementation team is completion DRI (Directly Responsible Individual) on handoff for Notes Sections', 'category': 'responsibility_assignment'}","{'exception': 'Merchant-specific processing requests may differ by contract (e.g., back-dating invoice date to final day of month)', 'condition': 'Contract-specific requirements override defaults'}; {'exception': ""Post Processing Communications are conditional - only required 'if necessary'"", 'condition': 'Not all merchants require post-processing notifications'}; {'exception': ""Events Processing and Integration Items Processing are marked as 'if necessary'"", 'condition': 'Only applicable to certain merchant configurations'}","{'element': 'Contract-specific processing instructions', 'description': 'Merchants may have unique requests like back-dating invoices to month-end', 'customization_required': True}; {'element': 'Post Processing Communications recipients and timing', 'description': 'Notification requirements vary by merchant (example shows Customer Success [Azmat Aziz] notification in merchant channel when contracts processed in Active phase)', 'customization_required': True}; {'element': 'Billing structure and modules', 'description': 'Merchant bills for platform with different modules - structure varies by merchant', 'customization_required': True}; {'element': 'Auto-pay customer list', 'description': 'Each merchant has different customers on auto-pay', 'customization_required': True}; {'element': 'Feature Requests', 'description': 'Merchant-specific feature requests tracked through lifecycle', 'customization_required': True}; {'element': 'Merchant call recordings', 'description': 'Specific Gong call IDs for Discovery and Demo calls', 'customization_required': True}",0.85
MIS_ Paiv_chunk_2,MIS_ Paiv,Merchant Business Model and Payment Structure; Merchant Temperament and Business Priorities; Platform Migration and Implementation Urgency; Financial Management and Cash Flow Visibility; Revenue Optimization and Cost Recovery,Clients pay per user/seat-based pricing model; Payment is collected upfront at contract execution; CPQ system must be connected to HubSpot for quote generation; Stripe fees should be passed through to customers; Collections process should be automated through AI billing manager; Cash forecasting must be accurate and visible; Revenue reporting must be available; DSO (Days Sales Outstanding) tracking is required; Invoicing functionality must be supported; Seat-based usage models need platform support,Seat-based usage model is not well-supported in the current platform (noted limitation); Expedited implementation required due to Cacheflow deprecation timing; Emergency migration scenario - merchant left without billing software going into next week; Bootstrapped business context (1M ARR) may have different requirements than venture-backed companies,"Merchant name: Paiv (Jason as key contact); Current tech stack: CPQ connected to HubSpot, transitioning from Cacheflow; Business stage: Bootstrapped, $1M ARR, targeting profitability in 2025; Organizational maturity: Described as 'disorganized business'; Key decision-maker profile: Young, intelligent, cash-focused; Priority features for this merchant: Cash Forecasting, Collections, Invoicing, Revenue Reporting, Stripe fee pass-through; Current pain points: No visibility into collections, DSO, or cash forecasting; Business philosophy: 'Every dollar matters' - extreme cost consciousness",0.92
Merchant Info Sheet - Findigs(1)_chunk_0,Merchant Info Sheet - Findigs(1),"Remittance Workflow Management; Contract and Billing Processing; Third-Party Integration (Orum, QBO); Monthly Usage-Based Event Processing; Multi-Step Approval and Communication Flow","Monthly usage-based billing model in arrears; Remittance processing involves approximately 200 transactions per month; Orum transfers take approximately 4 days to process; Two-step approval required: Ellie (Findigs) approves first, then Tabs approves in Garage before sending to Orum; Bank account information must be collected via Survey Monkey from portfolio managers; New contracts require customer-to-vendor conversion (Hyung performs this flip); Orum setup requires two superpowers: 'Create Orum Business' and 'Create Orum External Account'; Remittance amount calculated from column 'total_remittance_to_portfolio' (column AH) in usage data; Two automated emails sent: (1) 'New Remittance xxx from Findigs for $xx on [Date]' after Tabs approval, (2) 'Payment confirmation for Remittance xx from Findigs for $XX' after QBO sync; Orum business and bank account accuracy must be verified by logging into Orum; Status must be observed changing from 'Pending' to 'Completed' in Orum; Deepak pipeline creates one-off billing terms for Findigs; Ops team must confirm remittance amounts are accurate by combining QBO Vendor ID totals; Usage file is broken down by Property Manager in each row","No contracts provided by client - use sample tabs contract for processing; Client (Ellie) may need to update or change remittance amounts - this is acceptable and Deepak can update; If 4-5 events processed in a month (like May), okay to push back to next month if needed; Contract processing steps may differ from standard - none provided from client in this case","Merchant name: Findigs; Key contacts: Sebastian Hart (Head of Finance), Ellie Barney (Finance Associate, Primary PoC); Engineering contact: Parth; GTM POC and Implementation POC fields (not filled); Specific dates: Scoping start (Oct 13, 2023), Go live (May 10, 2024), MSA signature (Feb 15, 2024); Business description: Digital underwriting platform for rental applications; Remittance partner: Orum; Survey link: Survey Monkey for collecting bank account information; Usage data file naming convention: 'Findigs Usage Data - [Month]'; Approximately 200 remittances per month (merchant-specific volume); Custom remittance workflow built from scratch for this merchant; Specific approval workflow: Ellie approves → Tabs approves → Orum processes; Integration systems: Orum, QBO (QuickBooks Online); Internal contacts: Azmat Aziz (usage processing), Hyung Seok Choi, Royce Kok (Orum setup), Deepak (billing terms/updates)",0.92
Copy of MIS_ Global Grid 4 Learning_chunk_0,Copy of MIS_ Global Grid 4 Learning,Implementation Timeline and Milestones; Stakeholder Identification and Roles; Merchant Business Model and Operations; Implementation Goals and Pain Points; Platform Consolidation and Revenue Management,"Demo must occur before scoping start date; MSA signature should follow demo and scoping; Onboarding kick-off occurs after MSA signature; Go-live date should be established and tracked; Key stakeholders must be identified across multiple functions: Accountant, CEO, Customer Service, AR, and Billing; GTM POC and Implementation POC must be assigned; ERP and Tax Integration systems must be documented; Company summary must be provided by Account Executive (AE); Goals and pain points must be documented by AE and Implementation team; Opt-out clause existence and conditions must be identified and documented; North star goals must clearly define: merchant's goal, pain being solved, and reason for purchase",Opt Out Date is conditional - only tracked '[If Exists]'; Opt-out clause may have specific merchant requirements that prevent exercise of the clause; Multiple customer service representatives may be involved (as shown with Jennifer Johnson and Tamara Rubbelke),"Merchant name and business model (e.g., 'Global Grid for Learning' - membership-based collaborative); Specific key personnel names and their roles; Previous platform used (e.g., 'Maxio'); Specific pain points (e.g., 'didn't work with their acquisition'); Priority features/value drivers (e.g., 'Renewal management', 'Automated invoicing', 'Collections and dunning'); Industry-specific terminology (e.g., 'edtech vendors', 'digital transformation'); Merchant's strategic focus areas (e.g., 'school safety', 'skills gap'); Goal of 'operating out of one platform for all things revenue'; Specific dates for all milestones",0.92
Copy of MIS_ Global Grid 4 Learning_chunk_2,Copy of MIS_ Global Grid 4 Learning,Merchant relationship management and communication style; Key stakeholder identification and decision-making authority; Product feature priorities and value propositions; Integration and automation requirements; Financial system connectivity,Identify and document merchant temperament for relationship management purposes; Establish primary Points of Contact (POCs) who serve as decision makers; Document key features that matter to specific POCs for tailored communication; Platform must provide unified revenue management capabilities; System must sync with QuickBooks Online (QBO); Automated invoicing functionality is a required feature; Revenue Recognition (Rev Rec) automation is a required feature; Automated renewals functionality is a required feature,Multiple POCs identified (Robert Iskander and Audrey Mathis) rather than single decision maker - may require coordinated communication approach; Merchant characterized as 'extremely nice and easy to work with' - suggests potentially lower friction in implementation or negotiation compared to standard merchant interactions,"Merchant temperament assessment: 'Extremely nice and easy to work with'; Named POCs: Robert Iskander and Audrey Mathis; Specific accounting system: QuickBooks Online (QBO); Feature priority emphasis: unified platform, QBO sync, and three automation capabilities (invoicing, revenue recognition, renewals); Decision-making structure: dual POC model rather than single buyer",0.85
Copy of MIS_ Global Grid 4 Learning_chunk_1,Copy of MIS_ Global Grid 4 Learning,Contract Processing and Billing Models; Invoice Timing and Payment Terms; Integration Item Mapping and Configuration; Merchant-Specific Contract Types and Structures; Customer Management and Communication Workflows,"{'rule': 'LuminTouch contracts are broken down into multiple year terms with 2 billing transactions (BTs) per service item - one for first year and one for second year', 'category': 'contract_structure'}; {'rule': 'LuminTouch contracts have annual up-front billing for each year', 'category': 'billing_frequency'}; {'rule': ""Training integration item maps to 'Bright - Training'"", 'category': 'integration_mapping'}; {'rule': ""Hosting integration item maps to 'Lumin Hosting'"", 'category': 'integration_mapping'}; {'rule': 'Processing items are billed in arrears every 6 months for the contract term', 'category': 'billing_frequency'}; {'rule': 'For 2nd year invoices, invoice date must be 60 days before renewal date (one year after execution date)', 'category': 'invoice_timing'}; {'rule': '2nd year invoices require Net 60 payment terms regardless of what contract states', 'category': 'payment_terms'}; {'rule': 'For 2nd year invoices, adjust invoice date to 60 days prior to original invoice date in merchant app after initial processing', 'category': 'invoice_adjustment'}; {'rule': 'GG4L contracts are annual upfront membership fees', 'category': 'billing_frequency'}; {'rule': ""GG4L membership fees use tiered BT structure with integration item 'Membership fee + cost'"", 'category': 'integration_mapping'}; {'rule': 'GG4L invoice due date should equal contract term start date', 'category': 'invoice_timing'}; {'rule': 'GG4L contracts have Net 60 payment terms', 'category': 'payment_terms'}; {'rule': 'Districts POs should be processed for GG4L', 'category': 'processing_requirements'}; {'rule': 'Default service term if none listed is 1 year', 'category': 'defaults'}; {'rule': 'Default net payment terms if none listed is 0', 'category': 'defaults'}; {'rule': 'Default billing frequency if none listed is monthly', 'category': 'defaults'}; {'rule': 'Default tax handling: every tax line item becomes a BT', 'category': 'defaults'}; {'rule': 'BPOS team should ignore certain processing steps', 'category': 'team_responsibilities'}","{'exception': '2nd year invoices for LuminTouch require Net 60 despite contract stating otherwise', 'condition': 'Second year billing period'}; {'exception': 'Invoice date adjustment required post-processing for 2nd year invoices (manual step in merchant app)', 'condition': 'Second year LuminTouch invoices'}; {'exception': 'If no matching integration item exists for GG4L membership fee, leave blank', 'condition': 'Missing integration item match'}; {'exception': 'GG4L invoices use Lumen Torch logo and billing address for certain customers', 'condition': 'Legacy Lumen Torch customers'}; {'exception': 'Processing items billed every 6 months in arrears (different from standard annual upfront)', 'condition': 'Processing/training items for LuminTouch'}","{'element': 'Contract Types', 'details': 'Three different contract types exist for this merchant: LuminTouch, GG4L, and potentially others', 'customization_needed': True}; {'element': 'Integration Item Mapping', 'details': 'Specific mappings required: Training→Bright-Training, Hosting→Lumin Hosting, Membership fee structure for GG4L', 'customization_needed': True}; {'element': 'Multi-Entity Branding', 'details': 'GG4L acquired Lumen Torch; need to display Lumen Torch logo and billing address for legacy customers', 'customization_needed': True}; {'element': 'Custom Fields', 'details': 'Project ID and Sales Rep fields needed at customer level', 'customization_needed': True}; {'element': 'Usage Data Integration', 'details': 'Merchant wants automated monthly usage data pull from HubSpot', 'customization_needed': True}; {'element': 'Collections Process', 'details': 'Sales reps involved in collections during implementation', 'customization_needed': True}; {'element': 'Payment Terms Variance', 'details': 'Different payment terms by contract type: Net 60 for GG4L and 2nd year LuminTouch, potentially different for 1st year LuminTouch', 'customization_needed': True}; {'element': 'Billing Frequency Variance', 'details': 'Annual upfront for most items, but 6-month arrears billing for processing/training items', 'customization_needed': True}",0.75
Copy of Merchant Info Sheet - J2 Health_chunk_1,Copy of Merchant Info Sheet - J2 Health,Contract and Invoice Management; Billing Cadence and Payment Terms; System Integration and Software Usage; Customer Lifecycle and Amendment Tracking; Event Processing and Special Customer Handling,"{'rule': 'Contracts with separate billing for different services (e.g., adequacy and marketability) must have clear line items on invoices', 'category': 'Invoice Structure'}; {'rule': 'Item Name on invoices must match previous invoices for consistency', 'category': 'Invoice Consistency'}; {'rule': 'Use J2 software as the integration item across all BTs (billing transactions)', 'category': 'System Integration'}; {'rule': 'Default billing frequency is Annual', 'category': 'Billing Cadence'}; {'rule': 'Default contract term is 3 years', 'category': 'Contract Terms'}; {'rule': 'Check previously sent invoices to determine remaining years for amendments', 'category': 'Amendment Processing'}; {'rule': 'If customer has already churned, mark as processed with no BTs and attach the list', 'category': 'Churn Handling'}; {'rule': ""Payment Terms section stating 'Customer shall remit [Frequency] usage charge to the Vendor' refers to billing cadence"", 'category': 'Contract Interpretation'}","{'exception': 'Churned customers require special processing: marked as processed with no billing transactions', 'condition': 'Customer has already churned'}; {'exception': 'Certain invoices require special memos due to merchant-customer relationship', 'condition': 'Specific customer relationships exist'}; {'exception': 'Events processing may be necessary for certain billing scenarios', 'condition': 'Events billing is applicable'}; {'exception': 'Invoice changes may be required based on merchant-customer relationship dynamics', 'condition': 'Special merchant-customer relationships'}","{'element': 'J2 software integration', 'description': 'Specific software platform used for integration across billing transactions'}; {'element': 'Service types (adequacy and marketability)', 'description': 'Industry-specific services that may vary by merchant'}; {'element': 'Customer Information section', 'description': 'Requires tracking of important information on specific customers per merchant'}; {'element': 'Special memos for certain invoices', 'description': 'Merchant-specific customer relationships requiring custom invoice notes'}; {'element': 'Events Processing', 'description': ""May be necessary depending on merchant's event-based billing model""}; {'element': 'Feature Requests tracking', 'description': 'Merchant-specific feature request system with urgency and rewatch requirements'}; {'element': 'BTs (Billing Transactions)', 'description': 'Merchant-specific terminology for billing transactions'}",0.75
Copy of Merchant Info Sheet - J2 Health_chunk_0,Copy of Merchant Info Sheet - J2 Health,Prorated Billing and Mid-Period Contract Handling; Tiered State-Based Pricing Models; Multi-Year Contract Escalators and Revenue Scheduling; Complex Calculation Dependencies for Expansion States; Monthly Billing Cycles with First-of-Month Invoice Dates,"{'rule_id': 'R1', 'description': 'All customers are billed on the 1st of every month', 'category': 'billing_schedule'}; {'rule_id': 'R2', 'description': 'First and last months are prorated when contract is signed mid-month', 'category': 'proration'}; {'rule_id': 'R3', 'description': 'First invoice covers from contract start date through the end of the following month', 'category': 'proration', 'example': 'Contract signed July 15, first bill August 1 covers July 15-August 31'}; {'rule_id': 'R4', 'description': 'Last invoice of annual term is prorated to account for remainder of annual cost', 'category': 'proration'}; {'rule_id': 'R5', 'description': 'Tiered pricing model based on number of states customer includes', 'category': 'pricing'}; {'rule_id': 'R6', 'description': 'Expansion States calculation: if (X + Y) ≤ 10 then Z = 0, else Z = 16,537', 'category': 'pricing_calculation', 'dependencies': ['PY State Costs (X)', 'Additional States (Y)']}; {'rule_id': 'R7', 'description': 'Escalators apply to multi-year contracts with percentage increase each year', 'category': 'multi_year_pricing', 'example': '5% escalator: Year 1 = $600K, Year 2 = $630K, Year 3 = $661.5K'}; {'rule_id': 'R8', 'description': 'Create separate revenue schedule for each year of multi-year contracts', 'category': 'revenue_recognition'}; {'rule_id': 'R9', 'description': ""Calculate escalator price based on previous year's amount"", 'category': 'pricing_calculation'}; {'rule_id': 'R10', 'description': 'Annual figures should be prorated for 12 monthly invoices', 'category': 'billing_schedule'}; {'rule_id': 'R11', 'description': 'Merchant will provide prorated state quantities for first and last months', 'category': 'data_input'}; {'rule_id': 'R12', 'description': 'Expansion State calculation must be documented in feedback column for merchant review', 'category': 'documentation'}; {'rule_id': 'R13', 'description': 'Complex contracts with multiple line items should be broken down into detailed billing terms', 'category': 'contract_processing'}","{'exception_id': 'E1', 'description': 'Mid-period contract start requires special billing term structure', 'details': 'First billing term covers partial month from start date to month end, subsequent terms are full months, final term covers remaining days', 'example': 'July 20 start: Term 1 = July 20-31, Term 2 = Aug 1-31, Term 13 = July 1-19 (next year)'}; {'exception_id': 'E2', 'description': 'Expansion States pricing has conditional logic based on threshold', 'details': 'Zero cost if total states (X + Y) ≤ 10, otherwise fixed cost of $16,537'}; {'exception_id': 'E3', 'description': 'First invoice for mid-month contracts spans two calendar months', 'details': 'Covers from contract start date through end of following month'}; {'exception_id': 'E4', 'description': 'Merchant provides variable state quantities that may differ for first and last months', 'details': 'Requires coordination with merchant (J2) for prorated quantities'}","{'element': 'Company Information', 'details': {'merchant_name': 'J2-Health', 'business_type': 'Healthcare provider networks activation software', 'contacts': ['Ananth Raghavan (Head of Operations, Primary Contact)', 'Ava Woychuk-Mlinac (GTM, Senior)'], 'special_notes': 'Primary VC portfolio company with lots of nuances'}}; {'element': 'Billing Day', 'details': 'Always bills on the 1st of the month (merchant-specific preference)'}; {'element': 'State-Based Pricing Variables', 'details': {'PY_State_Costs': 'Variable X = $19,982 per state', 'Additional_States': 'Variable Y = $22,050 per state', 'Expansion_States': 'Variable Z = conditional based on (X+Y) threshold'}}; {'element': 'Prorated State Quantities', 'details': 'J2 sends prorated state quantities for first and last months - requires merchant coordination'}; {'element': 'Feedback Requirement', 'details': 'Azmat sends Expansion State calculations to merchant for verification'}; {'element': 'Invoice Date Handling', 'details': 'Invoice date set to 1st of month regardless of billing period covered'}; {'element': 'Terminology', 'details': {'states': 'Unit of measurement for tiered pricing', 'expansion_states': 'Conditional pricing tier based on total state count'}}",0.92
[EXTERNAL USE] Merchant Info Sheet - Harness Wealth_chunk_1,[EXTERNAL USE] Merchant Info Sheet - Harness Wealth,Contract Processing and Data Extraction; Billing Configuration and Revenue Recognition; Integration and Product Mapping; Stakeholder Communication and Notifications; Revenue Share Management,"All customers must come directly from QBO with billing address and email accurately populated; Use Effective Date from top paragraph of contract; Section 3 (Revenue Share) contains the most important contract information; Core charge must always be called 'Annual Platform Fee' regardless of billing cadence; For ALL Flat Price billing terms, quantity must be set to 1; Assume straight-line billing across all periods; Only charge for platform fees in Tabs (not revenue share); CSV Frequency setting: 1 every 1 none; CSV Quantity setting: 1; Flat Billing Recurring field: No; Ignore all contract sections outside of Effective Date and Section 3 - Revenue Share; Ignore anything pertaining to retained revenue share; Within Section 3, only create billing terms for Platform Fee and Additional Taxpayers; Default Service Term: 1 Year; Default Net Payment Terms: 30 days; Default Billing Frequency: Stated in section 3a under Revenue Share; All integration items map to Platform Fee Harness; Notify Jeff in harness during Implementation phase upon completion of processing batches","If contract displays different rate for one period, adjust appropriately using discount (deviation from straight-line billing); Additional Taxpayers billing terms are an exception to standard platform fee processing (see JBO for example); Revenue share feature (20% of invoice for leads) is requested but NOT URGENT and currently not supported by the platform","Merchant name: Harness; Current client base: 40 clients; Annual Recurring Revenue (ARR): $1.5M; Revenue model includes 20% revenue share from advisor leads (not currently processed in Tabs); Reference customers: Alpha Financial (example), JBO (Additional Taxpayers example); Key stakeholder: Jeff (to be notified during Implementation); Integration source: QuickBooks Online (QBO); Product terminology: 'Annual Platform Fee', 'Additional Taxpayers', 'Platform Fee Harness'; Specific call recordings referenced for context (11/11/24, 11/12/24, 11/19/24)",0.92
