rule_id,general_rule,frequency,confidence,source_documents
rule_0,Use effective date to populate Service start date in Revenue Schedule,79,0.8589873417721519,HELIX ALTERNATIVE TECHNOLOGIES INC-MIS; Merchant Info Sheet - Talkable(1); Luxury Presence MIS; MIS for Milk Moovement; Merchant Info Sheet - Attain; MIS for Paramify; Merchant Info Sheet - Alvys; Merchant Info Sheet - Droplet; Captivated MIS; H Copy of Merchant Info Sheet - Talkable; [EXTERNAL] Haus Merchant Info Sheet - Template; Merchant Info Sheet - Five Sigma Labs; Alaffia Health MIS; Capitalize MIS; Plenful MIS Template; Merchant Info Sheet_ Cargado; TIFIN AMP MIS; Valence MIS; Merchant Info Sheet - Corvus Robotics; Copy of TIFIN AG MIS; Propel MIS; Tabs MIS for WEVO; AlphaAI Technologies DBA Tavily MIS; Tabs x Responsive _ MIS; Merchant Info Sheet - Numeric; River Health Merchant Info Sheet; MIS - Molten Cloud; Merchant Info Sheet - Proton; HELIX ALTERNATIVE TECHNOLOGIES INC-MIS(1); Merchant Info Sheet - Harness Wealth; MIS_Fynn(1); MIS - Primary Management(1); Arcee AI - Merchant Info Sheet; Ash MIS; MIS_ Voxie; MIS_ Paiv; MIS_Fynn; MIS for Darkroom Studios; TIFIN AG_ WEALTHTECH_ MAGNIFI_ Axis _ TIFIN IP MIS; Coworks MIS; MIS_ Niche;  Autumn _ Tabs Merchant Info Sheet; MIS_ Saltmine + Changing workplace; TIFIN @ Work MIS; TIFIN @ Work MIS(1); Merchant Info Sheet - Droplet(1); Merchant Info Sheet - Bolster AI; MavenAGI Merchant Info Sheet_; Beansquad MIS Draft; Merchant Info Sheet - Hubble; Medicom Merchant Info Sheet_(1); BluWave MIS; Copy of Tabs MIS for dataplor; Haus Merchant Info Sheet - Template; Loanwell Merchant Info Sheet _; Ivo- Merchant Info Sheet_; Merchant Info Sheet - Proton(1); Merchant Info Sheet - Hubble(1); StrongArm MIS (real one); TIFIN AG_ WEALTHTECH_ MAGNIFI_ Axis  MIS; MIS - Primary Management; MIS_ Flytech; Tabs MIS for dataplor; Anysphere (Cursor) MIS
rule_2,Item Name should be taken from the 'Subscription' table for itemized services,9,0.8277777777777777,Ivo- Merchant Info Sheet_; MIS_ Paiv; Merchant Info Sheet - Numeric; Copy of Merchant Info Sheet_ Cognition AI; Coworks MIS; MIS for Darkroom Studios; MIS_ Flytech; [EXTERNAL] Haus Merchant Info Sheet - Template
rule_3,Item Description field should be left blank,48,0.8533333333333332,Arcee AI - Merchant Info Sheet(1); Merchant Info Sheet - Enzy(1); Loanbeam Merchant Info Sheet; Merchant Info Sheet - Talkable(1); Luxury Presence MIS; MIS for Milk Moovement; H Copy of Merchant Info Sheet - Talkable; Merchant Info Sheet - Five Sigma Labs; MIS_ Engaged MD; Merchant Info Sheet - Honor Education(1); Propel MIS; Instil MIS; Fingerprint MIS; Merchant Info Sheet - Enzy; MIS - Molten Cloud; MIS_Fynn(1); MIS - Primary Management(1); Arcee AI - Merchant Info Sheet; MIS_ Paiv; MIS_Fynn; Merchant Info Sheet - Laurel(1); MIS_ Niche; Merchant Info Sheet - Hylaine(1); Merchant Info Sheet - Laurel; Instil MIS(1); MIS_ Saltmine + Changing workplace; Merchant Info Sheet - Hylaine; MIS_ GoodShip(1); BluWave MIS; Merchant Info Sheet - Honor Education; Loanwell Merchant Info Sheet _; Ivo- Merchant Info Sheet_; TIFIN AG_ WEALTHTECH_ MAGNIFI_ Axis  MIS; MIS - Primary Management; Glacier MIS; Anysphere (Cursor) MIS
rule_4,"When merchant requests invoice generation, match item name with integration item",15,0.8533333333333333,Merchant Info Sheet - Pragma; Merchant Info Sheet - Enzy(1); Merchant Info Sheet - Lawtrades(1); [DRAFT] Trustero MIS; MIS_ Paiv; LILT MIS; Wild Fruit- MIS(1); Merchant Info Sheet - Lawtrades; Copy of Merchant Info Sheet - J2 Health; Merchant Info Sheet - Enzy; Wild Fruit- MIS; Knowde - Merchant Info Sheet; [EXTERNAL USE] Pragma MIS;  Merchant Info Sheet - Motivity
rule_5,"Billing Type is usually flat pricing, but check General Terms section for usage pricing",5,0.8300000000000001,MIS_ Paiv; Coworks MIS; Instil MIS(1); Merchant Info Sheet - Alvys; Anysphere (Cursor) MIS
rule_6,Use Total Price and Quantity from each individual line item in contract,9,0.8544444444444443,Arcee AI - Merchant Info Sheet(1); MIS_ DigitalOwl; MIS_ Paiv; Coworks MIS; Merchant Info Sheet - Droplet(1); Merchant Info Sheet - Droplet; Captivated MIS; MIS_Fynn(1)
rule_8,Include net $0 items in processing,3,0.85,Merchant Info Sheet_ Respondology(1); Merchant Info Sheet_ Respondology; MIS_ Paiv
rule_11,"Quantity should refer to the Quantity column, default to 1 unless otherwise specified",18,0.8755555555555555,Merchant Info Sheet - Pragma; Copy of Tabs MIS for dataplor; Tabs MIS for WEVO; TIFIN GIVE_ TIFIN Sage MIS(1); MIS_ Paiv; Tabs x Responsive _ MIS; Lakera MIS_; Merchant Info Sheet - Hylaine(1); Tennr MIS; Merchant Info Sheet - Lawtrades; OLD MIS; EDGE Software MIS (Beacon); Merchant Info Sheet - Alvys; Merchant Info Sheet - Hylaine; [EXTERNAL USE] Pragma MIS; MIS_ Crew AI; [DRAFT] 2X MIS
rule_12,Default Billing Frequency should refer to contract,4,0.85,Arcee AI - Merchant Info Sheet(1); Merchant Info Sheet - Hubble; Arcee AI - Merchant Info Sheet; MIS_ Paiv
rule_14,Dates for both billing and revenue must match the contract,7,0.8799999999999999,Merchant Info Sheet - Corvus Robotics; Merchant Info Sheet - Lawtrades(1); MIS_ Paiv; Merchant Info Sheet - Lawtrades;  Merchant Info Sheet - Inspiren; Tabs MIS for dataplor; Merchant Info Sheet - Brevity
