chunk_id,document_id,themes,rules,exceptions,merchant_specific,confidence_score
MavenAGI Merchant Info Sheet - Google Docs_chunk_0,MavenAGI Merchant Info Sheet - Google Docs,Billing and Invoicing Processes; Key Personnel and Roles; Project Timeline and Dates; System Integrations,All invoices must be created manually in QuickBooks; Contract data must be stored in HubSpot with PDF attachments; Revenue recognition requires manual Excel tracking; Dunning and collections are tracked via spreadsheets; Billing can be done through either fixed platform fees or prepaid usage credits; Overage situations trigger new invoice generation,Two distinct billing models: fixed platform fees vs prepaid usage credits; Overage handling requires separate invoice process; No tax integration requirement specified,systems; key_roles; billing_model; implementation_timeline,0.85
MavenAGI Merchant Info Sheet - Google Docs_chunk_1,MavenAGI Merchant Info Sheet - Google Docs,Invoice Management; Automation Systems; Manual Processing; Support Services,Invoices require manual description editing in QuickBooks; Tabs platform handles automated contract ingestion; Tabs manages automated invoice creation; Tabs handles usage billing processing; Tabs manages revenue recognition; Tabs handles dunning processes; Support must be contacted for questions,Manual editing of descriptions by Tracy in QuickBooks; Custom description requirements that can't be automated,customization_points; systems,0.85
MavenAGI Merchant Info Sheet - Google Docs_chunk_2,MavenAGI Merchant Info Sheet - Google Docs,Merchant Temperament; Growth Stage; Operational Style; Infrastructure Development,Merchant requires fast-paced execution; Collaborative approach is expected; Organization and structure must be maintained; Infrastructure development is a priority; Work must align with scale-focused objectives,None explicitly stated,growth_stage; work_style; pace; organization_level; priority_focus,0.85
MavenAGI Merchant Info Sheet - Google Docs_chunk_3,MavenAGI Merchant Info Sheet - Google Docs,Decision Making Structure; Financial Operations Features; System Integration Requirements; User Management & Compliance,Ultimate decision authority rests with Lauren Murphy; Day-to-day finance operations managed by Jillian; RevOps integration must be coordinated through Mitch; System must support PDF contract ingestion; Billing processes must be automated; System must handle prepayments and overages; User permissions must be role-based; Exports must be audit-ready; HubSpot integration must include invoice payment status writeback,SFP acts as partner for Light Labs client relationship,customization_points; terminology,0.85
MavenAGI Merchant Info Sheet - Google Docs_chunk_4,MavenAGI Merchant Info Sheet - Google Docs,Company Growth Stage; Billing and AR Management; Strategic Systems Implementation; Support Infrastructure,"Support inquiries must be directed to support@tabsplatform.com; Implementation goals must be filled out by Account Executive; System must handle AR, billing, collections, and reporting functionalities",No clear exceptions noted in the provided content,customization_points; terminology,0.85
MavenAGI Merchant Info Sheet - Google Docs_chunk_5,MavenAGI Merchant Info Sheet - Google Docs,Automated Billing & Invoicing; Revenue Management; System Integration; Payment Collection,Usage-based billing must support prepayment functionality; Usage-based billing must handle overage calculations; System must sync between QuickBooks and HubSpot; Platform fees can be combined with prepaid usage credits; Revenue recognition must be tracked and visible; Commission tracking must be supported,Opt-out clause provisions (details not specified); Mixed billing model combining both prepaid usage and fixed fees,customizable_elements; terminology,0.85
MavenAGI Merchant Info Sheet - Google Docs_chunk_6,MavenAGI Merchant Info Sheet - Google Docs,Usage Tracking and Monitoring; Contract Management; Invoice Processing; Integration and Data Import,Usage must be tracked in Google Sheets CSVs; Data imports must be handled via API or CSV; Overages require standalone invoices; Usage AI must be enabled when overages are mentioned; Threshold usage AI models must track prepaid amounts; Integration items must follow specific naming/mapping conventions; Most contracts should be processed as order forms,Contract terms vary by customer (monthly/quarterly/annual); Item names can be modified if they don't fit standard mapping; Invoice descriptions are customizable per contract,customizable_elements; variable_processes,0.85
MavenAGI Merchant Info Sheet - Google Docs_chunk_7,MavenAGI Merchant Info Sheet - Google Docs,Platform Licensing; Volume-based Pricing; Discounts and Promotions; Resolution Management,Contact support at tabsplatform.com for questions; Resolution volume must match contract specifications; Item names must match contract exactly; Monthly ticket volume tracking required; Platform fees are charged annually,Maven Partnership Discount (End of August Promo); Multi Year Discount availability; Start-Up Edition special pricing; Best judgment can be used in certain situations,volume_metrics; pricing_elements; integration_types,0.75
MavenAGI Merchant Info Sheet - Google Docs_chunk_8,MavenAGI Merchant Info Sheet - Google Docs,Platform Licensing; Volume-based Pricing; Discounts and Promotions; Resolution Management,"Default quantity should be 1 if not specified; Resolution Volume must use purchased quantity; Platform fees are charged annually; Resolution pricing is per-resolution (e.g. $2.00/resolution, $3.75/resolution); Ticket volume is measured monthly",Maven Partnership Discount - End of August Promo; Multi Year Discount availability; Start-Up Edition has special platform fee structure,volume_metrics; product_types; discount_types,0.75
MavenAGI Merchant Info Sheet - Google Docs_chunk_9,MavenAGI Merchant Info Sheet - Google Docs,Billing and Payment Calculations; Discount Processing; Date and Term Management; Payment Scheduling,Calculate total price by dividing listed amount by billing period; Convert annual totals to quarterly by dividing by 4; Process all BTs with value of 0; Apply discounts using in-line discounting spread evenly across products; Service Start Date should match effective date; Billing Start Date equals Service Start Date unless specified otherwise; Default Net Terms to net 0 if not specified; Do not create separate negative BTs except for Partnership Credit; Calculate discount percentage by dividing discount amount by total amount when not explicitly listed,Partnership Credit must be treated as separate negative BT discount; Payment Schedule can override default Billing Start Date; Payment Schedule can override standard Billing Period; Ignore overage language when no fixed rate is provided,Billing period (quarterly vs upfront); Payment schedule specifications; Product-specific discount rates; Initial Term duration; Billing method terms; Per-ticket pricing agreements,0.85
