rule_id,general_rule,frequency,confidence,source_documents
rule_22,Billing processes must be automated,2,0.85,MavenAGI Merchant Info Sheet - Google Docs; MIS for Milk Moovement - Google Docs
rule_27,Support inquiries should be directed to support@tabsplatform.com,10,0.8,MavenAGI Merchant Info Sheet - Google Docs; Lakera MIS - Google Docs; Summer Discovery - MIS - Google Docs; Plenful MIS Template - Google Docs; Ash MIS - Google Docs; MIS for Milk Moovement - Google Docs
rule_43,Contact support at tabsplatform.com for questions,2,0.725,MavenAGI Merchant Info Sheet - Google Docs; Summer Discovery - MIS - Google Docs
rule_47,Platform fees are charged annually,2,0.75,MavenAGI Merchant Info Sheet - Google Docs
rule_57,Billing Start Date equals Service Start Date unless specified otherwise,2,0.85,MavenAGI Merchant Info Sheet - Google Docs; Lakera MIS - Google Docs
rule_58,Default Net Terms to net 0 if not specified,3,0.85,MavenAGI Merchant Info Sheet - Google Docs; Summer Discovery - MIS - Google Docs; Fingerprint MIS - Google Docs
rule_71,Use full service term for threshold period,2,0.7749999999999999,MavenAGI Merchant Info Sheet - Google Docs; Ash MIS - Google Docs
rule_76,Support contact must be made through tabsplatform.com,7,0.7357142857142858,MavenAGI Merchant Info Sheet - Google Docs; Summer Discovery - MIS - Google Docs; Plenful MIS Template - Google Docs; AlphaAI Technologies DBA Tavily MIS - Google Docs; Fingerprint MIS - Google Docs
rule_98,Statsig integrations must be labeled as 'Sales',8,0.8062499999999999,MavenAGI Merchant Info Sheet - Google Docs; Lakera MIS - Google Docs; Summer Discovery - MIS - Google Docs; Plenful MIS Template - Google Docs; AlphaAI Technologies DBA Tavily MIS - Google Docs; Ash MIS - Google Docs; MIS for Milk Moovement - Google Docs
rule_99,Pinata integration items must be labeled as 'Software Subscription Bundle',10,0.8,MavenAGI Merchant Info Sheet - Google Docs; Lakera MIS - Google Docs; Summer Discovery - MIS - Google Docs; Plenful MIS Template - Google Docs; AlphaAI Technologies DBA Tavily MIS - Google Docs; Ash MIS - Google Docs; MIS for Milk Moovement - Google Docs
rule_100,Ops Team must notify relevant stakeholders upon batch processing completion,4,0.85,MavenAGI Merchant Info Sheet - Google Docs; AlphaAI Technologies DBA Tavily MIS - Google Docs; Ash MIS - Google Docs; MIS for Milk Moovement - Google Docs
rule_103,Implementation team must complete Notes section during handoff,3,0.85,Plenful MIS Template - Google Docs; Ash MIS - Google Docs; MIS for Milk Moovement - Google Docs
rule_104,POC information must be documented for both Implementation and CX teams,3,0.85,Lakera MIS - Google Docs; AlphaAI Technologies DBA Tavily MIS - Google Docs; MIS for Milk Moovement - Google Docs
rule_111,Contract tracking must be automated,2,0.85,MIS for Milk Moovement - Google Docs
rule_136,Professional services are divided into implementation and custom development categories,2,0.7,MIS for Milk Moovement - Google Docs
